Time Period,Food,Clothing and footwear
Jan 2014,"7,337","2,597.4"
Feb 2014,"6,640.9","2,091.1"
Mar 2014,"7,265.5","2,401.2"
Apr 2014,"7,010","2,513.2"
May 2014,"7,050.9","2,621.5"
Jun 2014,"6,784.6","2,533.2"
Jul 2014,"7,127.1","2,515.1"
Aug 2014,"7,285.7","2,352"
Sep 2014,"7,034.2","2,486.1"
Oct 2014,"7,491.9","2,649.8"
Nov 2014,"7,461.4","2,793.6"
Dec 2014,"8,273.9","4,426.7"
Jan 2015,"7,413.5","2,634.4"
Feb 2015,"6,811.7","2,090.6"
Mar 2015,"7,493.3","2,489.8"
Apr 2015,"7,189.3","2,606.1"
May 2015,"7,330","2,704.3"
Jun 2015,"6,973.9","2,620.3"
Jul 2015,"7,330.1","2,669.1"
Aug 2015,"7,426","2,489.3"
Sep 2015,"7,252.5","2,623.7"
Oct 2015,"7,746.2","2,812.2"
Nov 2015,"7,702.6","2,944.9"
Dec 2015,"8,651.6","4,730"
Jan 2016,"7,694.6","2,775.5"
Feb 2016,"7,252.1","2,322"
Mar 2016,"7,876.4","2,650"
Apr 2016,"7,359.2","2,791.9"
May 2016,"7,431.9","2,796.7"
Jun 2016,"7,246.7","2,907.5"
Jul 2016,"7,538.6","2,762.5"
Aug 2016,"7,685.6","2,613.7"
Sep 2016,"7,566.9","2,757.5"
Oct 2016,"7,964.1","2,859"
Nov 2016,"7,939.9","3,099"
Dec 2016,"9,061.4","4,987.2"
Jan 2017,"7,921.9","2,815.4"
Feb 2017,"7,334.7","2,257.9"
Mar 2017,"8,036","2,672.4"
Apr 2017,"7,874.6","2,789.4"
May 2017,"7,769.7","2,902.9"
Jun 2017,"7,544.5","2,918.1"
Jul 2017,"7,832.8","2,779.1"
Aug 2017,"7,936.4","2,657.3"
Sep 2017,"7,796.2","2,756.3"
Oct 2017,"8,163.4","2,876.1"
Nov 2017,"8,189","3,208.7"
Dec 2017,"9,263.5","4,943.1"
Jan 2018,"8,147.9","2,844.1"
Feb 2018,"7,525.3","2,338.6"
Mar 2018,"8,581.4","2,758.1"
Apr 2018,"7,843.6","2,769.1"
May 2018,"8,072.4","3,041.6"
Jun 2018,"7,853","3,051.8"
Jul 2018,"8,106.6","2,809"
Aug 2018,"8,336.1","2,775.6"
Sep 2018,"8,135.9","2,792.8"
Oct 2018,"8,490.1","3,041.7"
Nov 2018,"8,517.9","3,364.6"
Dec 2018,"9,651.2","5,019.6"
Jan 2019,"8,491.2","2,914.7"
Feb 2019,"7,916.4","2,419.5"
Mar 2019,"8,865.1","2,905.5"
Apr 2019,"8,401.3","2,889.7"
May 2019,"8,421.1","3,151.6"
Jun 2019,"8,035","3,236.8"
Jul 2019,"8,320.6","2,892.6"
Aug 2019,"8,757.8","3,021"
Sep 2019,"8,284.8","2,913.3"
Oct 2019,"8,734.7","3,102.1"
Nov 2019,"8,724.4","3,636.3"
Dec 2019,"9,421.3","4,628.7"
Jan 2020,"8,566.6","2,842.6"
Feb 2020,"8,188.5","2,448.3"
Mar 2020,"10,908.5","2,225.9"
Apr 2020,"9,060.7","1,628.8"
May 2020,"9,579.1","2,929.3"
Jun 2020,"8,981.8","3,181.1"
Jul 2020,"9,765.5","3,188.4"
Aug 2020,"9,815.4","2,781.4"
Sep 2020,"9,200.1","2,748.6"
Oct 2020,"9,670.1","3,046.5"
Nov 2020,"9,276.7","4,032.6"
Dec 2020,"10,309.7","4,817.5"
Jan 2021,"9,241.3","3,035.9"
Feb 2021,"8,224.1","2,543"
Mar 2021,"9,104.8","3,070.9"
Apr 2021,"8,756.2","3,226.9"
May 2021,"9,132","3,394.1"
Jun 2021,"8,908.1","3,188.3"
Jul 2021,"9,720.5","2,714"
Aug 2021,"9,974.8","2,466.4"
Sep 2021,"9,603","2,609.9"
Oct 2021,"10,081.2","3,226.7"
Nov 2021,"9,498.9","4,570.7"
Dec 2021,"11,015.7","5,164.7"
Jan 2022,"9,941.9","3,237.7"
Feb 2022,"8,930.3","2,938.1"
Mar 2022,"9,682.2","3,412.4"
Apr 2022,"9,969.4","3,809.6"
May 2022,"9,786.5","3,939.2"
Jun 2022,"9,498.6","4,055.6"
Jul 2022,"10,301.2","4,018.4"
Aug 2022,"10,319.2","3,831.6"
Sep 2022,"10,220","4,004.1"
Oct 2022,"10,770.1","4,137.5"
Nov 2022,"10,536.2","5,097.4"
Dec 2022,"12,014.6","5,893.5"
Jan 2023,"10,677.2","3,841.3"
Feb 2023,"9,905.1","3,245.9"
Mar 2023,"10,777.3","3,685.8"
Apr 2023,"10,992","4,042.4"
May 2023,"10,825.3","4,169.5"
Jun 2023,"10,482.9","4,132.7"
Jul 2023,"10,986","3,912.4"
Aug 2023,"11,132.7","3,844.7"
Sep 2023,"11,087.8","4,035.3"
Oct 2023,"11,462","4,078.7"
Nov 2023,"11,390.5","5,225.2"
Dec 2023,"12,680.8","5,886.2"
Jan 2024,"11,284.2","3,845.1"
Feb 2024,"10,843.4","3,382.1"
Mar 2024,"11,884.9","3,731.9"
Apr 2024,"10,957.9","3,887.2"
May 2024,"11,396.7","4,113.5"
Jun 2024,"11,019.3","4,229.7"
Jul 2024,"11,331","3,844.5"
Aug 2024,"11,806.9","4,009.1"
Sep 2024,"11,347","3,917"
Oct 2024,"11,914.5","4,147.2"
Nov 2024,"11,951.8","5,391.6"
Dec 2024,"12,983.7","6,091.6"
,,
© Terms & conditions ,,
