Time Period,Employed Males (Full Time),ETP Males,Employed Females (Full Time),ETP Females
Jan 2014,"5,111.3",66.2,"2,817.4",54.1
Feb 2014,"5,178.9",66.9,"2,881.4",54.7
Mar 2014,"5,126.5",67.0,"2,836.3",55.2
Apr 2014,"5,153.5",67.0,"2,824.4",55.2
May 2014,"5,155.4",66.8,"2,867.4",55.3
Jun 2014,"5,121.4",66.7,"2,855.3",55.3
Jul 2014,"5,172.6",66.6,"2,871.0",55.1
Aug 2014,"5,120.6",66.5,"2,843.6",55.3
Sep 2014,"5,131.0",66.3,"2,847.4",55.0
Oct 2014,"5,134.2",66.4,"2,847.5",54.9
Nov 2014,"5,187.1",66.7,"2,825.7",54.9
Dec 2014,"5,258.1",67.3,"2,895.9",55.6
Jan 2015,"5,156.3",66.0,"2,850.3",54.1
Feb 2015,"5,249.8",67.2,"2,903.0",55.3
Mar 2015,"5,221.1",67.0,"2,855.9",55.1
Apr 2015,"5,175.9",66.9,"2,881.8",55.2
May 2015,"5,198.5",67.1,"2,910.6",55.6
Jun 2015,"5,174.3",66.7,"2,911.0",55.5
Jul 2015,"5,209.5",66.7,"2,938.0",55.5
Aug 2015,"5,165.0",66.2,"2,886.7",55.3
Sep 2015,"5,177.9",66.4,"2,929.6",55.6
Oct 2015,"5,221.1",66.9,"2,921.2",56.0
Nov 2015,"5,239.0",67.0,"2,982.1",56.4
Dec 2015,"5,315.8",67.5,"3,033.2",56.7
Jan 2016,"5,208.9",66.3,"2,946.3",55.0
Feb 2016,"5,283.0",67.2,"3,013.0",56.1
Mar 2016,"5,210.0",66.8,"2,955.6",55.9
Apr 2016,"5,170.0",66.8,"2,977.6",56.1
May 2016,"5,194.6",66.9,"2,976.2",56.1
Jun 2016,"5,208.4",66.7,"2,981.4",56.1
Jul 2016,"5,204.1",66.7,"2,988.9",56.0
Aug 2016,"5,159.8",66.0,"2,940.4",55.5
Sep 2016,"5,127.4",66.0,"2,942.3",55.7
Oct 2016,"5,167.1",66.1,"2,944.1",55.7
Nov 2016,"5,226.7",66.3,"2,989.1",56.1
Dec 2016,"5,294.1",66.8,"3,035.7",56.4
Jan 2017,"5,180.9",65.4,"2,913.9",54.9
Feb 2017,"5,273.5",66.4,"2,990.0",55.7
Mar 2017,"5,236.5",66.2,"2,992.2",55.9
Apr 2017,"5,253.9",66.7,"2,978.4",55.9
May 2017,"5,291.3",66.7,"3,033.3",56.6
Jun 2017,"5,316.8",66.5,"3,054.8",56.6
Jul 2017,"5,315.3",66.6,"3,075.7",56.4
Aug 2017,"5,286.4",66.2,"3,060.8",56.5
Sep 2017,"5,323.2",66.5,"3,064.1",56.9
Oct 2017,"5,325.3",66.5,"3,081.8",56.9
Nov 2017,"5,374.7",66.9,"3,142.4",57.4
Dec 2017,"5,423.9",67.2,"3,197.3",57.9
Jan 2018,"5,296.3",66.1,"3,109.2",56.1
Feb 2018,"5,421.9",67.0,"3,162.7",57.2
Mar 2018,"5,355.2",66.6,"3,095.3",57.1
Apr 2018,"5,363.1",66.8,"3,123.0",57.1
May 2018,"5,378.0",66.9,"3,113.6",57.3
Jun 2018,"5,388.7",66.9,"3,129.9",57.5
Jul 2018,"5,420.5",66.9,"3,155.4",57.0
Aug 2018,"5,408.6",66.8,"3,141.6",56.9
Sep 2018,"5,431.6",67.0,"3,167.6",57.1
Oct 2018,"5,450.1",67.0,"3,189.5",57.3
Nov 2018,"5,475.0",67.2,"3,221.5",57.7
Dec 2018,"5,509.4",67.7,"3,285.5",58.0
Jan 2019,"5,486.7",66.7,"3,227.3",56.5
Feb 2019,"5,546.8",67.5,"3,277.5",57.7
Mar 2019,"5,511.6",67.3,"3,239.8",57.4
Apr 2019,"5,474.0",67.2,"3,255.6",57.8
May 2019,"5,514.6",67.7,"3,228.1",57.9
Jun 2019,"5,513.3",67.4,"3,247.8",57.8
Jul 2019,"5,523.9",67.3,"3,307.3",57.7
Aug 2019,"5,481.4",67.0,"3,248.5",57.7
Sep 2019,"5,498.3",66.9,"3,284.2",58.1
Oct 2019,"5,491.0",66.6,"3,276.6",57.9
Nov 2019,"5,521.7",67.0,"3,315.4",58.2
Dec 2019,"5,542.5",67.3,"3,402.7",58.7
Jan 2020,"5,488.4",66.0,"3,335.7",57.2
Feb 2020,"5,566.7",66.9,"3,359.5",58.2
Mar 2020,"5,504.4",66.7,"3,304.8",57.8
Apr 2020,"5,359.6",64.0,"3,205.9",54.8
May 2020,"5,308.8",62.9,"3,174.5",53.7
Jun 2020,"5,289.1",63.7,"3,165.8",54.8
Jul 2020,"5,318.4",64.1,"3,216.0",55.2
Aug 2020,"5,297.5",64.3,"3,178.3",55.9
Sep 2020,"5,268.4",64.3,"3,191.2",55.9
Oct 2020,"5,363.7",65.3,"3,183.6",56.4
Nov 2020,"5,434.6",66.0,"3,261.0",57.1
Dec 2020,"5,480.8",66.3,"3,353.1",57.8
Jan 2021,"5,406.7",65.4,"3,298.0",56.2
Feb 2021,"5,512.5",66.6,"3,407.8",57.9
Mar 2021,"5,447.5",66.5,"3,331.9",58.1
Apr 2021,"5,451.7",66.5,"3,333.7",57.8
May 2021,"5,490.7",67.0,"3,414.4",59.0
Jun 2021,"5,538.4",67.0,"3,404.4",58.7
Jul 2021,"5,557.2",67.1,"3,416.8",58.4
Aug 2021,"5,476.7",66.1,"3,354.8",57.6
Sep 2021,"5,486.5",65.8,"3,393.8",56.9
Oct 2021,"5,479.5",65.6,"3,371.5",56.6
Nov 2021,"5,593.7",67.3,"3,461.2",59.0
Dec 2021,"5,676.7",68.0,"3,546.9",59.6
Jan 2022,"5,569.2",66.3,"3,469.4",58.4
Feb 2022,"5,730.6",67.8,"3,596.0",60.0
Mar 2022,"5,669.8",67.6,"3,552.3",59.7
Apr 2022,"5,710.5",67.7,"3,590.5",59.7
May 2022,"5,753.2",68.2,"3,639.1",60.2
Jun 2022,"5,779.7",68.2,"3,658.7",60.5
Jul 2022,"5,765.3",67.9,"3,654.2",60.1
Aug 2022,"5,761.4",67.9,"3,651.7",60.0
Sep 2022,"5,777.7",68.1,"3,684.2",59.9
Oct 2022,"5,823.2",68.2,"3,693.6",60.0
Nov 2022,"5,881.3",68.7,"3,742.0",60.6
Dec 2022,"5,949.7",68.8,"3,828.2",60.8
Jan 2023,"5,803.0",67.2,"3,723.7",58.9
Feb 2023,"5,963.2",68.6,"3,835.3",60.4
Mar 2023,"5,944.6",68.4,"3,816.9",60.5
Apr 2023,"5,871.1",68.1,"3,840.5",60.2
May 2023,"5,933.8",68.6,"3,887.6",61.0
Jun 2023,"5,955.3",68.4,"3,884.6",60.7
Jul 2023,"5,959.0",68.2,"3,882.9",60.2
Aug 2023,"5,936.0",68.0,"3,800.4",60.0
Sep 2023,"5,884.9",67.8,"3,828.9",60.3
Oct 2023,"5,899.0",67.9,"3,842.7",60.6
Nov 2023,"5,988.5",68.5,"3,886.8",60.9
Dec 2023,"6,003.7",68.4,"3,875.7",60.9
Jan 2024,"5,852.5",66.6,"3,776.9",59.0
Feb 2024,"6,010.3",68.4,"3,926.8",60.9
Mar 2024,"5,963.2",68.0,"3,869.7",60.3
Apr 2024,"5,929.2",67.8,"3,857.4",60.3
May 2024,"5,997.0",68.3,"3,873.9",60.7
Jun 2024,"6,005.4",68.2,"3,901.1",60.6
Jul 2024,"6,042.2",68.0,"3,955.4",60.6
Aug 2024,"5,963.3",67.8,"3,917.0",60.3
Sep 2024,"6,027.0",68.2,"3,915.2",60.4
Oct 2024,"6,046.8",68.3,"3,905.2",60.4
Nov 2024,"6,137.6",68.7,"3,968.7",60.8
Dec 2024,"6,144.0",69.1,"4,033.8",61.2
,,,,
© Terms & conditions ,,,,
