time_period,employed_ft,employed_pt,employed_persons,unemployed_ft_work,unemployed_pt_work,unemployed_persons,labour_force,not_in_labour_force,civ_popln,political_party
01-2015,903364.92959,733928.5044,1637293.43399,72567.02419,39361.856289999996,111928.88048,1749222.3144699999,1372464.68554,3121687.0000099996,LNC - Mike Baird
02-2015,928622.75552,747253.60859,1675876.36411,73411.09996,53595.79473,127006.89469,1802883.2588,1323648.7411999998,3126532.0,LNC - Mike Baird
03-2015,918663.65588,766109.60256,1684773.25844,68744.87693,47145.93881,115890.81575000001,1800664.07418,1330692.92582,3131357.0,LNC - Mike Baird
04-2015,928369.42661,757446.64533,1685816.07195,67960.82598,44522.487890000004,112483.31388,1798299.38582,1336099.61417,3134398.99999,LNC - Mike Baird
05-2015,943631.6745399999,746667.85236,1690299.5269,57792.023870000005,50808.31488,108600.33873999999,1798899.86564,1338562.13435,3137461.99999,LNC - Mike Baird
06-2015,957295.1371599999,744897.366,1702192.5031599998,75027.12055,35736.62781,110763.74836,1812956.2515099999,1327549.74848,3140506.0,LNC - Mike Baird
07-2015,973996.68534,743817.6932600001,1717814.3786,77658.10498,40849.3783,118507.48328,1836321.86188,1308228.13812,3144550.0,LNC - Mike Baird
08-2015,958043.0964800001,763983.90696,1722027.0034400001,62482.70281,51573.992269999995,114056.69507999999,1836083.69852,1312506.30149,3148590.00001,LNC - Mike Baird
09-2015,983078.6972800001,758612.08794,1741690.78523,69998.65964,38483.924029999995,108482.58366999999,1850173.3689000001,1302463.6310999999,3152637.0,LNC - Mike Baird
10-2015,969200.3571799999,772326.1833599999,1741526.54054,66671.74156,37180.03136,103851.77292999999,1845378.31347,1311046.68653,3156425.0,LNC - Mike Baird
11-2015,1006494.00286,770569.70785,1777063.71072,60070.68925,36348.05466,96418.74391,1873482.45462,1286746.54537,3160229.0,LNC - Mike Baird
12-2015,1028075.7372800001,767044.0498299999,1795119.7871100002,58101.83517,35394.610389999994,93496.44556,1888616.23267,1275402.76733,3164019.0,LNC - Mike Baird
01-2016,982580.972,753553.80579,1736134.7778,76625.52060999999,38292.474480000004,114917.99509000001,1851052.77288,1318070.22712,3169123.0,LNC - Mike Baird
02-2016,996525.72374,779503.21519,1776028.9389300002,71662.8995,42281.25924,113944.15874,1889973.09767,1284240.90232,3174213.99999,LNC - Mike Baird
03-2016,978403.86507,799871.32219,1778275.18726,64957.88638,42920.638750000006,107878.52512,1886153.71238,1293166.28762,3179320.0,LNC - Mike Baird
04-2016,995656.45535,792797.51237,1788453.96773,61938.20639,39085.733060000006,101023.93944,1889477.90717,1293311.09283,3182789.0,LNC - Mike Baird
05-2016,981798.05951,804560.3254999999,1786358.3850099999,51797.49134,41578.06568,93375.55702000001,1879733.9420200002,1306515.05798,3186249.0,LNC - Mike Baird
06-2016,983417.18153,803559.1211,1786976.30263,62381.66737,41955.05753,104336.72489999999,1891313.02753,1298405.97248,3189719.00001,LNC - Mike Baird
07-2016,968957.4569999999,811013.36437,1779970.82137,48710.64837,48383.820040000006,97094.4684,1877065.28977,1317589.71022,3194655.0,LNC - Mike Baird
08-2016,956637.5878600001,803192.21036,1759829.79822,58069.00844,36751.2445,94820.25294,1854650.05116,1344938.94827,3199588.99943,LNC - Mike Baird
09-2016,975004.71962,803757.0574,1778761.77702,52139.44431,38268.26341,90407.70772,1869169.48474,1335345.5143199998,3204514.9990700004,LNC - Mike Baird
10-2016,976632.92106,789641.5362699999,1766274.45732,55248.96004,40902.29179,96151.25183000001,1862425.70915,1346010.28933,3208435.99848,LNC - Mike Baird
11-2016,973474.74717,795623.01542,1769097.76259,56599.99927,34156.990829999995,90756.9901,1859854.75269,1352518.2493699999,3212373.0020600003,LNC - Mike Baird
12-2016,989771.99717,798995.38844,1788767.3856199998,65561.88624,31456.88865,97018.77489,1885786.1605099998,1330514.84092,3216301.00142,LNC - Mike Baird
01-2017,951173.95772,780698.09366,1731872.0513799998,63566.86774,40011.53944,103578.40718,1835450.45856,1386183.54245,3221634.0010200003,LNC - Mike Baird
02-2017,974366.57124,778977.24513,1753343.81637,59558.68353,46612.549399999996,106171.23293,1859515.04929,1367451.9512,3226967.00049,LNC - Mike Baird
03-2017,961880.73263,810832.70537,1772713.438,55186.50294,47619.029220000004,102805.53216,1875518.97016,1356774.0297299998,3232292.9998999997,LNC - Mike Baird
04-2017,957671.52116,812613.7932399999,1770285.3144099999,55291.234780000006,37318.592520000006,92609.8273,1862895.1417099999,1372185.85819,3235080.9998999997,LNC - Mike Baird
05-2017,998539.6776500001,799016.75425,1797556.4319,54562.33103,33698.43966,88260.77069,1885817.20258,1352039.79731,3237856.99989,LNC - Mike Baird
06-2017,1003229.45889,811496.26052,1814725.71941,44677.469170000004,42210.736840000005,86888.20599999999,1901613.9254100001,1339029.07446,3240642.99987,LNC - Gladys Berejiklian
07-2017,1005212.3953,785592.6136,1790805.0089,43118.055920000006,40979.43471,84097.49063,1874902.4995300001,1369822.5003499999,3244724.99988,LNC - Gladys Berejiklian
08-2017,1017800.94635,785592.97782,1803393.9241600002,47729.90913,38990.622690000004,86720.53182,1890114.45598,1358694.5439000002,3248808.99988,LNC - Gladys Berejiklian
09-2017,1015071.3993,806889.84615,1821961.24545,41498.098210000004,42387.57567,83885.67389,1905846.91934,1347050.08056,3252896.9999,LNC - Gladys Berejiklian
10-2017,1027417.9787999999,793185.87486,1820603.85366,45479.90356,41060.01894,86539.9225,1907143.7761600001,1347988.22373,3255131.99988,LNC - Gladys Berejiklian
11-2017,1033507.8879099999,809966.56358,1843474.4514900001,50368.051459999995,32265.043599999997,82633.09506,1926107.54655,1331267.45334,3257374.9998899996,LNC - Gladys Berejiklian
12-2017,1059867.78107,813902.14186,1873769.92292,55498.95595,24217.33149,79716.28744,1953486.2103600001,1306129.78953,3259615.9999,LNC - Gladys Berejiklian
01-2018,1014851.40959,778752.49214,1793603.90173,63536.719900000004,41102.15399,104638.87389,1898242.77562,1366073.2243,3264315.99991,LNC - Gladys Berejiklian
02-2018,1021548.84453,819841.94337,1841390.7879,63021.102159999995,40152.35689,103173.45904,1944564.24694,1324443.75297,3269007.99991,LNC - Gladys Berejiklian
03-2018,1013411.00721,834130.6268900001,1847541.63411,66671.08058,41184.29653,107855.37712,1955397.01122,1318312.98866,3273709.99988,LNC - Gladys Berejiklian
04-2018,1039113.8668000001,828117.5596,1867231.42639,51154.16612,41021.932069999995,92176.09819,1959407.52459,1316773.4753100001,3276180.9998899996,LNC - Gladys Berejiklian
05-2018,1025047.36327,840167.4670899999,1865214.83036,61698.25851,33834.19601,95532.45452,1960747.2848800002,1317929.71502,3278676.99989,LNC - Gladys Berejiklian
06-2018,1027637.88329,852167.00113,1879804.88442,52727.60179,33180.00547,85907.60726,1965712.49168,1315434.5082299998,3281146.99991,LNC - Gladys Berejiklian
07-2018,1046616.15775,808039.5799100001,1854655.73765,59224.09469,33151.61242,92375.70710999999,1947031.44476,1338341.55515,3285372.9999100002,LNC - Gladys Berejiklian
08-2018,1037684.59207,831377.5854199999,1869062.1774900001,54836.28186,38853.26038,93689.54224,1962751.71973,1326825.2801700002,3289576.9998999997,LNC - Gladys Berejiklian
09-2018,1035589.83496,853127.86891,1888717.7038699999,51162.52912,33380.428199999995,84542.95732999999,1973260.6612,1320543.3387,3293803.9998999997,LNC - Gladys Berejiklian
10-2018,1050318.85255,852120.81333,1902439.66588,43631.48412,37464.51788,81096.002,1983535.6678799998,1313124.3320000002,3296659.99988,LNC - Gladys Berejiklian
11-2018,1062363.0746199999,830558.8734200001,1892921.94804,50003.08466,24891.38656,74894.47122,1967816.4192599999,1331698.5806200001,3299514.9998799996,LNC - Gladys Berejiklian
12-2018,1070519.90079,832266.49939,1902786.40018,50384.87629,33669.59772,84054.474,1986840.8741799998,1315532.1257200001,3302372.9999,LNC - Gladys Berejiklian
01-2019,1065752.41102,822960.72378,1888713.13481,47711.1007,30446.64602,78157.74672000001,1966870.88153,1339650.11836,3306520.99989,LNC - Gladys Berejiklian
02-2019,1079093.21357,825336.16095,1904429.37452,48558.86179,45959.55081,94518.41258999999,1998947.78712,1311711.2127699999,3310658.99988,LNC - Gladys Berejiklian
03-2019,1052491.65882,839589.7352199999,1892081.3940400002,55602.325469999996,38311.06548999999,93913.39096,1985994.7850000001,1328812.21489,3314806.99989,LNC - Gladys Berejiklian
04-2019,1069219.07168,836727.03594,1905946.10762,58131.98922,40048.23288,98180.2221,2004126.32972,1312424.6701699998,3316550.99989,LNC - Gladys Berejiklian
05-2019,1055830.84029,852259.86842,1908090.70871,51400.310840000006,41009.85907,92410.16991,2000500.87862,1317794.12129,3318294.99992,LNC - Gladys Berejiklian
06-2019,1080477.87549,824932.12326,1905409.99876,55679.217319999996,41499.480820000004,97178.69814,2002588.6969,1317453.30302,3320041.99991,LNC - Gladys Berejiklian
07-2019,1102635.7418499999,799857.11651,1902492.85835,62795.71533,32778.87248,95574.58781,1998067.4461700001,1325694.55375,3323761.9999100002,LNC - Gladys Berejiklian
08-2019,1069513.29058,828301.75207,1897815.04265,50234.31867,38332.070139999996,88566.38881,1986381.4314599999,1341088.56846,3327469.9999200003,LNC - Gladys Berejiklian
09-2019,1084296.22928,826837.02298,1911133.25226,52624.79391,36844.71904,89469.51294999999,2000602.7652099999,1330588.23467,3331190.99988,LNC - Gladys Berejiklian
10-2019,1085641.3530899999,817977.5161799999,1903618.86927,57978.949700000005,34902.106400000004,92881.0561,1996499.92537,1337621.07452,3334120.9998999997,LNC - Gladys Berejiklian
11-2019,1092021.26791,820147.77153,1912169.03944,50188.199660000006,33076.97739,83265.17705,1995434.21649,1341641.78339,3337075.99988,LNC - Gladys Berejiklian
12-2019,1115219.06592,825264.02664,1940483.09256,52399.886029999994,31400.5544,83800.44042999999,2024283.53299,1315721.46689,3340004.99988,LNC - Gladys Berejiklian
01-2020,1110184.01245,785897.80281,1896081.81526,57435.47435,31135.60647,88571.08082,1984652.8960799999,1359068.1038,3343720.99988,LNC - Gladys Berejiklian
02-2020,1110982.4045499999,801096.1369599999,1912078.54151,61742.49854,40980.444650000005,102722.94318999999,2014801.4847,1332630.5151799999,3347431.99988,LNC - Gladys Berejiklian
03-2020,1108837.34092,813246.73809,1922084.079,64287.869529999996,31926.36135,96214.23088,2018298.30989,1332852.69001,3351150.9999,LNC - Gladys Berejiklian
04-2020,1043429.6190099999,762664.098,1806093.71701,89403.24425,32313.31874,121716.56299,1927810.28,1423181.71991,3350991.99991,LNC - Gladys Berejiklian
05-2020,1032680.68079,745818.93499,1778499.61578,81632.28765,39975.4356,121607.72325000001,1900107.3390300001,1450720.66087,3350827.9998899996,LNC - Gladys Berejiklian
06-2020,1034105.2201099999,790343.81224,1824449.03235,89780.53036,40374.261150000006,130154.79152,1954603.82387,1396066.176,3350669.99987,LNC - Gladys Berejiklian
07-2020,1057035.47559,786530.24014,1843565.71573,95965.9318,41612.07264,137578.00444,1981143.72017,1367903.2797299998,3349046.9998899996,LNC - Gladys Berejiklian
08-2020,1054555.01496,812608.3084000001,1867163.32336,85735.53244,38430.99522,124166.52765,1991329.85101,1356099.14887,3347428.99988,LNC - Gladys Berejiklian
09-2020,1070322.3346,811561.25954,1881883.59414,77851.56546,42165.905940000004,120017.47140000001,2001901.06554,1343907.9343599998,3345808.9998999997,LNC - Gladys Berejiklian
10-2020,1063884.6361999998,828876.19309,1892760.82929,73623.99488,38864.053830000004,112488.04871,2005248.878,1340158.12192,3345406.9999200003,LNC - Gladys Berejiklian
11-2020,1099252.08159,802428.38016,1901680.46175,80021.63864,37410.50484,117432.14349,2019112.60523,1325903.39466,3345015.9999,LNC - Gladys Berejiklian
12-2020,1116769.35703,796751.28435,1913520.64137,73274.84384,40587.564190000005,113862.40802999999,2027383.0494,1317232.9505,3344615.9999,LNC - Gladys Berejiklian
01-2021,1082792.2727,764726.77768,1847519.05038,89892.69971999999,38910.137689999996,128802.83741,1976321.8877899998,1367767.1121,3344088.9999,LNC - Gladys Berejiklian
02-2021,1118800.21954,798710.92256,1917511.1420999998,74146.80774999999,41899.95748,116046.76523,2033557.90733,1309998.09258,3343555.9999100002,LNC - Gladys Berejiklian
03-2021,1109230.0244099998,824922.62362,1934152.6480299998,73187.70999999999,40206.93849,113394.64848999999,2047547.2965199999,1295484.70336,3343031.99988,LNC - Gladys Berejiklian
04-2021,1094086.8410800002,820590.4891,1914677.3301799998,62073.74175,38452.97629,100526.71803,2015204.04822,1328050.95166,3343254.99988,LNC - Gladys Berejiklian
05-2021,1140437.31527,830398.9956799999,1970836.31095,57606.291079999995,30493.99556,88100.28663999999,2058936.59759,1284522.4022899999,3343458.99988,LNC - Gladys Berejiklian
06-2021,1151241.0725,815455.41975,1966696.49226,54727.69408,36113.45675,90841.15084,2057537.6430900001,1286140.35682,3343677.99991,LNC - Gladys Berejiklian
07-2021,1141100.8276099998,784467.07514,1925567.9027500001,54772.74643,29204.02348,83976.76991,2009544.6726600002,1333248.3272199999,3342792.99989,LNC - Gladys Berejiklian
08-2021,1102659.89106,728424.78699,1831084.67805,41309.2008,37463.883969999995,78773.08477,1909857.76281,1432039.2383400002,3341897.00115,LNC - Gladys Berejiklian
09-2021,1101910.10673,722390.94677,1824301.05351,46355.702600000004,40997.09416,87352.79676,1911653.85026,1429356.14959,3341009.99985,LNC - Gladys Berejiklian
10-2021,1096690.42922,723545.02112,1820235.45034,56207.51477,47252.209090000004,103459.72386,1923695.1742,1419280.82668,3342976.0008799997,LNC - Dominic Perrottet
11-2021,1133249.0076300001,796740.02061,1929989.02824,50082.225999999995,37472.861549999994,87555.08756,2017544.11579,1327391.88635,3344936.00214,LNC - Dominic Perrottet
12-2021,1167406.93135,796534.01054,1963940.94189,42477.115679999995,31210.61061,73687.72629,2037628.6681700002,1309272.33116,3346900.99933,LNC - Dominic Perrottet
01-2022,1123858.6794,789766.14519,1913624.8245899999,51834.42592,34769.620279999996,86604.0462,2000228.87078,1352596.12739,3352824.99818,LNC - Dominic Perrottet
02-2022,1155754.65826,822300.27705,1978054.9353,44912.26728,36013.75839,80926.02567,2058980.96098,1299762.03811,3358742.99908,LNC - Dominic Perrottet
03-2022,1139248.29261,832473.41392,1971721.7065299999,46340.04135,33618.89224,79958.93359,2051680.64012,1312990.36028,3364671.0004000003,LNC - Dominic Perrottet
04-2022,1156689.8094600001,830573.76084,1987263.5703099999,42433.64418,27363.68011,69797.32429,2057060.8946000002,1312079.1058,3369140.0004000003,LNC - Dominic Perrottet
05-2022,1176690.01892,834430.28775,2011120.30667,47527.69421,33901.10806,81428.80227,2092549.1089400002,1281049.8914899998,3373599.00043,LNC - Dominic Perrottet
06-2022,1180924.49201,839413.65377,2020338.1457800001,43077.01247,24610.1614,67687.17386,2088025.3196499997,1290043.68075,3378069.0003899997,LNC - Dominic Perrottet
07-2022,1171370.67754,839174.97094,2010545.6484700001,43157.42014,28852.809149999997,72010.22929,2082555.8777599998,1302473.1226599999,3385029.00042,LNC - Dominic Perrottet
08-2022,1175776.38945,834029.43341,2009805.82286,43611.7953,29814.41431,73426.20961,2083232.0324600001,1308763.96792,3391996.00038,LNC - Dominic Perrottet
