STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure,SEX,Sex,AGE,Age,TSEST,Adjustment Type,REGION,Region,FREQ,Frequency,TIME_PERIOD,Time Period,OBS_VALUE,Observation Value,UNIT_MEASURE,Unit of Measure,UNIT_MULT,Unit of Multiplier,OBS_STATUS,Observation Status,OBS_COMMENT,Observation Comment,DECIMALS,Decimals
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2015-01,,128.68758395,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2015-02,,137.89449816,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2015-03,,135.0631011,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2015-04,,117.86353397,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2015-05,,119.3385857,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2015-06,,110.7019406,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2015-07,,117.09170664,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2015-08,,118.25014791,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2015-09,,111.630665,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2015-10,,108.3608266,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2015-11,,102.27294065,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2015-12,,104.47872615,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2016-01,,131.18679686,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2016-02,,113.89040247,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2016-03,,122.82088354,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2016-04,,117.64631405,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2016-05,,115.07253336,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2016-06,,111.55156058,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2016-07,,102.13854044,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2016-08,,113.35364026,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2016-09,,110.92550385,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2016-10,,98.9151522,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2016-11,,97.36407165,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2016-12,,101.67248783,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2017-01,,122.00791391,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2017-02,,138.21340476,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2017-03,,116.62835803,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2017-04,,113.89131106,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2017-05,,105.96292474,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2017-06,,112.18855956,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2017-07,,109.68056313,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2017-08,,95.0312462,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2017-09,,103.9153081,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2017-10,,104.33475326,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2017-11,,97.91090235,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2017-12,,105.73110803,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2018-01,,117.63873965,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2018-02,,135.29304464,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2018-03,,130.20962165,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2018-04,,130.21903644,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2018-05,,121.54388841,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2018-06,,118.95977205,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2018-07,,115.53967698,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2018-08,,118.05875597,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2018-09,,101.46415043,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2018-10,,105.20719446,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2018-11,,104.33833348,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2018-12,,104.2771694,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2019-01,,116.86266578,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2019-02,,116.21010885,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2019-03,,123.60922904,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2019-04,,119.88522007,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2019-05,,123.46265554,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2019-06,,115.85977191,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2019-07,,123.53482997,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2019-08,,118.80956535,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2019-09,,117.05806031,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2019-10,,116.67853973,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2019-11,,108.18036206,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2019-12,,98.92613534,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2020-01,,129.98163564,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2020-02,,113.13024367,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2020-03,,117.28820745,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2020-04,,138.59047803,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2020-05,,148.61868989,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2020-06,,156.38815318,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2020-07,,165.24364353,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2020-08,,139.46072299,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2020-09,,144.42192706,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2020-10,,138.93524617,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2020-11,,134.69088107,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2020-12,,140.87832421,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2021-01,,147.72344869,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:LF(1.0.0),Labour Force,I,M4,Unemployed - looking for full-time work,3,Persons,1599,Total (age),10,Original,3,Queensland,M,Monthly,2021-02,,135.64502486,,NUM,Number,3,Thousands,,,,,1,One
