time_period,employed_ft,employed_pt,employed_persons,unemployed_ft_work,unemployed_pt_work,unemployed_persons,labour_force,not_in_labour_force,civ_popln,political_party
01-2015,1612132.30591,327438.99076,1939571.29667,112228.08182,33422.154370000004,145650.23619,2085221.53285,921844.46714,3007066.0,LNC - Mike Baird
02-2015,1656432.57004,326170.17055000004,1982602.7405899998,108120.34214000001,25154.18798,133274.53011,2115877.2706999998,895906.7293,3011784.0,LNC - Mike Baird
03-2015,1653937.301,339493.50772000005,1993430.8087199999,96360.93678999999,29915.56651,126276.5033,2119707.31201,896787.6879799999,3016495.0,LNC - Mike Baird
04-2015,1632141.96352,374914.43265,2007056.39617,88159.63441,25044.54928,113204.18368999999,2120260.57986,898914.4201300001,3019174.99999,LNC - Mike Baird
05-2015,1637253.07695,361583.26240999997,1998836.33936,84834.25047,26851.61757,111685.86804,2110522.2073999997,911337.7925999999,3021860.0,LNC - Mike Baird
06-2015,1643975.47882,356549.66547,2000525.14429,90114.64845000001,19742.869020000002,109857.51747,2110382.6617599996,914163.3382400001,3024546.0,LNC - Mike Baird
07-2015,1667016.33458,339901.34553,2006917.68011,89662.93863,20093.15671,109756.09533,2116673.77544,911672.22456,3028346.0,LNC - Mike Baird
08-2015,1646749.79718,340008.36484,1986758.16201,97730.07011999999,19585.60546,117315.67558000001,2104073.83759,928086.1624,3032159.99999,LNC - Mike Baird
09-2015,1636076.23696,364499.35738,2000575.5943399998,89262.64904,27608.76652,116871.41556000001,2117447.00991,918508.9901,3035956.0,LNC - Mike Baird
10-2015,1675724.38365,340712.35961999994,2016436.74327,83341.91095,26068.340160000003,109410.2511,2125846.99437,913651.00563,3039498.0,LNC - Mike Baird
11-2015,1682975.21821,352311.01793,2035286.23614,79107.02296,22223.937970000003,101330.96093,2136617.19707,906377.80293,3042995.0,LNC - Mike Baird
12-2015,1695468.80569,343537.24616,2039006.05185,80068.14011000001,24770.52039,104838.6605,2143844.71235,902693.28764,3046537.99999,LNC - Mike Baird
01-2016,1652160.28031,351923.54046000005,2004083.82077,93703.47346,29095.42625,122798.89971,2126882.72048,924722.27952,3051605.0,LNC - Mike Baird
02-2016,1681417.96785,344135.16708,2025553.13492,89800.19432000001,22801.22476,112601.41907999999,2138154.554,918553.44599,3056708.0,LNC - Mike Baird
03-2016,1650017.99768,377302.43752000004,2027320.4352,83854.18978,27064.17053,110918.36032,2138238.79552,923541.2044800001,3061780.0,LNC - Mike Baird
04-2016,1649670.0113,381943.3106,2031613.3219,87446.32249,18118.288679999998,105564.61117,2137177.93306,927914.06694,3065092.00001,LNC - Mike Baird
05-2016,1656595.74351,391425.74164,2048021.48515,85171.12585,24713.337209999998,109884.46306,2157905.94821,910493.0517899999,3068399.0,LNC - Mike Baird
06-2016,1649319.7273400002,386219.43374,2035539.16108,79153.05735,19169.73111,98322.78846,2133861.94954,937845.05046,3071707.0,LNC - Mike Baird
07-2016,1647281.2756700001,393372.43044,2040653.7061100001,77889.61243,27181.380579999997,105070.99300999999,2145724.69913,930832.30087,3076556.99999,LNC - Mike Baird
08-2016,1628754.16569,390028.93998,2018783.10567,74999.03139,27924.64699,102923.67838,2121706.78405,959653.21511,3081359.99916,LNC - Mike Baird
09-2016,1625859.26545,407740.54386,2033599.80931,74894.11339,25743.03743,100637.15083,2134236.96014,951925.03851,3086161.99865,LNC - Mike Baird
10-2016,1648506.45074,389200.7104,2037707.16115,71410.72794,22526.86126,93937.5892,2131644.75034,958391.2475299999,3090035.99788,LNC - Mike Baird
11-2016,1650964.8295,387952.66813,2038917.49764,71594.13557000001,24624.80875,96218.94432000001,2135136.44196,958795.56095,3093932.00291,LNC - Mike Baird
12-2016,1667807.7305700001,378407.85477,2046215.58534,74666.92577,31608.54891,106275.47468,2152491.06002,945313.942,3097805.00202,LNC - Mike Baird
01-2017,1641403.9250400001,355596.21005000005,1997000.1350800002,85811.19318,27645.322620000003,113456.51580000001,2110456.65088,993113.35058,3103570.0014600004,LNC - Mike Baird
02-2017,1678147.52584,357980.81405,2036128.33989,85622.24152,34539.88095,120162.12246000001,2156290.4623600002,953052.53832,3109343.00068,LNC - Mike Baird
03-2017,1664434.1476,375245.10757,2039679.25516,79340.60726,32734.35348,112074.96074,2151754.21591,963359.78391,3115113.99982,LNC - Mike Baird
04-2017,1659262.0357000001,399353.49706,2058615.5327599999,69541.88433999999,22925.17363,92467.05797,2151082.59073,967711.4090699999,3118793.9998000003,LNC - Mike Baird
05-2017,1671586.42347,380133.71066000004,2051720.1341199998,73493.28572,26732.591949999998,100225.87767,2151946.0118,970525.98802,3122471.99982,LNC - Mike Baird
06-2017,1683247.61577,357483.69362,2040731.30939,79381.00588,24047.455429999998,103428.46131,2144159.7707,981986.22914,3126145.99984,LNC - Gladys Berejiklian
07-2017,1693474.86172,371040.81782999996,2064515.6795500002,82934.38785,31480.29846,114414.68630999999,2178930.3658600003,951774.63397,3130704.99983,LNC - Gladys Berejiklian
08-2017,1674598.69487,367157.59481,2041756.28969,88750.42709,23762.436220000003,112512.86331,2154269.1530000004,980984.84684,3135253.9998399997,LNC - Gladys Berejiklian
